exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,3.482,0.12,3.302,3.695
ζ,zeta,0.86,0.037,0.798,0.939
μ,mu,1.984,0.111,1.788,2.154
γ,gamma,-0.561,0.023,-0.603,-0.521
β,beta,1.064,0.596,0.793,2.842
η,eta,1.09,0.047,1.008,1.184
