rank,frequency
1,1722265
2,559506
3,229908
4,187023
5,134278
6,112031
7,108784
8,105492
9,91627
10,90781
11,78028
12,77569
13,72374
14,69187
15,68841
16,68534
17,65296
18,62705
19,54386
20,51967
21,51542
22,49913
23,48243
24,48230
25,47066
26,44962
27,44791
28,43857
29,43449
30,42299
31,42211
32,41464
33,40276
34,40023
35,39068
36,37599
37,37384
38,37286
39,34115
40,32877
41,32798
42,32459
43,32224
44,31017
45,30023
46,29620
47,29489
48,29170
49,28985
50,28883
