gamma_CP,eta_v,model_zeta,model_eta
0.0,0.0,0.7085767134894156,0.8146571945774141
0.0,0.25,0.6355586316400136,0.8855585740614096
0.0,0.5,0.6757753181056704,0.8795252036023853
0.0,0.75,0.7854516695521084,0.9150524253146665
0.0,1.0,0.6955745965233824,0.881288959334836
0.0,1.25,0.6357554625793861,0.9088026357281126
0.0,1.5,0.7096862376193296,0.9524168893909308
0.05,0.0,0.777026058179335,0.9235624426856004
0.05,0.25,0.6939652250320342,0.9764454176627991
0.05,0.5,0.6598512610173073,0.9294442267816238
0.05,0.75,0.7857493799551907,0.978191220552386
0.05,1.0,0.6875211170692285,0.9938331026694035
0.05,1.25,0.7072252586415892,0.995604569207976
0.05,1.5,0.6941588730894122,0.9962736208486382
0.1,0.0,0.8000815397843848,0.9931903077560535
0.1,0.25,0.7897619090304513,0.9483553788615796
0.1,0.5,0.6952649962958852,0.9541216869182193
0.1,0.75,0.7054873068241624,1.0134725907134852
0.1,1.0,0.7082253651015502,1.02332875798816
0.1,1.25,0.7857314537838723,1.0223387275284692
0.1,1.5,0.6011897015447074,1.0458146088650386
0.15000000000000002,0.0,0.8433086187996105,1.0303476534775806
0.15000000000000002,0.25,0.7631574272510084,1.03635243767258
0.15000000000000002,0.5,0.7019212343094734,1.014376786299061
0.15000000000000002,0.75,0.7676761329120654,1.0552689232203272
0.15000000000000002,1.0,0.7496527978329208,1.0327674392902717
0.15000000000000002,1.25,0.74620470469354,1.061057062647588
0.15000000000000002,1.5,0.6590092316955923,1.0807378344488576
0.2,0.0,0.864756444719859,1.0686320406371126
0.2,0.25,0.7712835987155826,1.0488571793613064
0.2,0.5,0.701044378291849,1.0471147869236435
0.2,0.75,0.7731939720863233,1.1115232646821827
0.2,1.0,0.7588644262090914,1.0938429803994858
0.2,1.25,0.7468073204334478,1.0706560674625272
0.2,1.5,0.6812421577454814,1.082608966956233
0.25,0.0,0.814180932207166,1.0676070274303864
0.25,0.25,0.8176076397551871,1.0591515815583683
0.25,0.5,0.7264439740138908,1.038464606460574
0.25,0.75,0.7564484024424718,1.112292956525808
0.25,1.0,0.7706665744273659,1.0996484788373646
0.25,1.25,0.7111154623564141,1.1294880042959283
0.25,1.5,0.6661858728451765,1.0863023288000941
0.30000000000000004,0.0,0.7867860541358991,1.0635216970033878
0.30000000000000004,0.25,0.8472705364892643,1.119233448071605
0.30000000000000004,0.5,0.7141594694075293,1.0930626404797743
0.30000000000000004,0.75,0.7793892752036242,1.0755871372884986
0.30000000000000004,1.0,0.7804421099489355,1.1305280827853534
0.30000000000000004,1.25,0.7609071395238767,1.1288433979157637
0.30000000000000004,1.5,0.6784348574700887,1.0825283348311356
0.35000000000000003,0.0,0.7634040267465212,1.085796916773086
0.35000000000000003,0.25,0.855775151706385,1.1169050561615728
0.35000000000000003,0.5,0.7771417309298119,1.0743464975883712
0.35000000000000003,0.75,0.7690823347508641,1.1057641951923702
0.35000000000000003,1.0,0.7451151264236495,1.1633763686926224
0.35000000000000003,1.25,0.7882344921218841,1.1417194094369303
0.35000000000000003,1.5,0.6859800223869924,1.0979222292064876
0.4,0.0,0.7268211853226476,1.076088654522052
0.4,0.25,0.8257518611407099,1.0878084168502744
0.4,0.5,0.7475177079871667,1.1016119707397285
0.4,0.75,0.7259765770499459,1.1007329875082388
0.4,1.0,0.8155134129617018,1.1216217182072938
0.4,1.25,0.7502521323082433,1.1305685172741526
0.4,1.5,0.7967954428041791,1.0879624761001034
