rank,frequency
1,278
2,222
3,201
4,156
5,130
6,117
7,104
8,88
9,82
10,82
11,81
12,73
13,71
14,67
15,66
16,63
17,59
18,57
19,52
20,51
21,49
22,47
23,41
24,41
25,40
26,40
27,39
28,36
29,36
30,35
31,34
32,33
33,32
34,31
35,31
36,27
37,26
38,26
39,26
40,25
41,25
42,24
43,23
44,22
45,22
46,22
47,21
48,21
49,20
50,20
