exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,4.293,1.113,2.425,6.327
ζ,zeta,0.97,0.096,0.806,1.16
μ,mu,0.84,0.15,0.574,1.13
γ,gamma,-0.57,0.159,-0.862,-0.234
β,beta,0.778,0.046,0.697,0.868
η,eta,0.665,0.093,0.488,0.857
