exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,4.353,0.083,4.196,4.51
ζ,zeta,1.576,0.022,1.542,1.625
μ,mu,0.496,0.028,0.454,0.558
β,beta,3.149,4.692,0.79,12.703
η,eta,0.346,0.09,0.18,0.541
