exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,3.9,0.357,3.431,4.398
ζ,zeta,1.635,0.091,1.441,1.794
μ,mu,1.349,0.145,1.101,1.643
γ,gamma,-0.151,0.133,-0.418,0.097
β,beta,1.139,0.231,0.666,1.43
η,eta,0.957,0.117,0.731,1.16
