exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,2.72,0.18,2.361,3.081
ζ,zeta,0.29,0.064,0.172,0.409
μ,mu,0.935,0.049,0.84,1.032
γ,gamma,-0.014,0.039,-0.084,0.071
β,beta,2.328,0.432,1.522,3.247
η,eta,1.13,0.431,0.263,1.611
