exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,2.831,0.315,2.44,3.929
ζ,zeta,0.894,0.045,0.796,0.97
μ,mu,0.934,0.044,0.836,1.011
γ,gamma,-0.125,0.045,-0.204,-0.033
β,beta,1.199,0.894,0.727,3.524
η,eta,0.648,0.069,0.52,0.778
