rank,frequency
1,11589
2,180
3,170
4,113
5,77
6,64
7,60
8,59
9,51
10,49
11,44
12,42
13,38
14,36
15,30
16,28
17,28
18,27
19,26
20,26
21,26
22,26
23,26
24,25
25,25
26,25
27,24
28,24
29,23
30,22
31,22
32,22
33,21
34,21
35,21
36,20
37,20
38,20
39,20
40,20
41,20
42,19
43,19
44,19
45,19
46,19
47,18
48,18
49,18
50,18
