exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,3.562,0.273,2.891,4.065
ζ,zeta,0.262,0.061,0.123,0.36
μ,mu,0.914,0.044,0.827,0.991
γ,gamma,0.022,0.043,-0.057,0.12
β,beta,44.53,30.541,18.567,134.723
η,eta,0.437,0.207,-0.032,0.733
