rank,frequency
1,360
2,320
3,307
4,303
5,296
6,285
7,278
8,258
9,230
10,202
11,201
12,199
13,193
14,188
15,163
16,156
17,150
18,143
19,142
20,137
21,136
22,132
23,131
24,128
25,124
26,117
27,110
28,107
29,104
30,103
31,98
32,91
33,91
34,90
35,89
36,87
37,84
38,81
39,81
40,78
41,75
42,75
43,74
44,68
45,66
46,62
47,61
48,60
49,58
50,55
