exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,3.237,0.384,2.663,4.091
ζ,zeta,0.71,0.074,0.563,0.853
μ,mu,0.76,0.081,0.621,0.946
γ,gamma,-0.425,0.074,-0.579,-0.282
β,beta,0.713,0.026,0.656,0.761
η,eta,0.772,0.077,0.62,0.912
