rank,frequency
1,604
2,515
3,509
4,410
5,394
6,316
7,277
8,257
9,257
10,250
11,241
12,237
13,232
14,232
15,219
16,201
17,200
18,186
19,176
20,175
21,175
22,174
23,169
24,165
25,154
26,150
27,149
28,147
29,145
30,136
31,133
32,133
33,131
34,125
35,123
36,117
37,116
38,116
39,113
40,113
41,107
42,106
43,106
44,99
45,97
46,94
47,94
48,93
49,93
50,92
