exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,5.744,2.032,2.472,8.727
ζ,zeta,0.559,0.108,0.394,0.786
μ,mu,0.974,0.061,0.846,1.096
γ,gamma,-0.089,0.084,-0.256,0.054
β,beta,3.372,0.575,1.91,4.403
η,eta,0.747,0.111,0.505,0.942
