exponent,exponent_name,mean,standard_error,ci_lo_2.5,ci_hi_97.5
α,alpha,3.403,0.177,3.079,3.8
ζ,zeta,0.28,0.072,0.176,0.422
μ,mu,0.821,0.025,0.772,0.871
γ,gamma,0.094,0.031,0.035,0.156
β,beta,1.894,0.697,0.983,2.996
η,eta,1.033,0.037,0.965,1.102
