rank,frequency
1,519
2,449
3,414
4,369
5,323
6,314
7,308
8,300
9,299
10,294
11,282
12,272
13,269
14,261
15,260
16,256
17,255
18,244
19,241
20,233
21,230
22,229
23,228
24,222
25,209
26,208
27,204
28,203
29,199
30,194
31,190
32,187
33,187
34,183
35,183
36,181
37,180
38,179
39,179
40,178
41,178
42,178
43,177
44,175
45,175
46,175
47,175
48,174
49,172
50,172
